Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Shaquille O'Neal,2m17,24,51,26.2,12.5,3.1
Eddie Jones,1m99,25,80,17.2,4.1,3.4
Nick Van Exel,1m86,25,79,15.3,2.9,8.5
Elden Campbell,2m14,28,77,14.9,8,1.6
Cedric Ceballos,2m01,27,8,10.8,6.6,1.9
Robert Horry,2m09,26,22,9.2,5.4,2.5
Kobe Bryant,2m01,18,71,7.6,1.9,1.3
Jerome Kersey,2m01,34,70,6.8,5.2,1.3
Byron Scott,1m93,35,79,6.7,1.5,1.3
Travis Knight,2m14,22,71,4.8,4.5,0.5
Corie Blount,2m09,27,58,4.2,4.8,0.6
George McCloud,2m04,29,23,4.1,1.6,0.7
Derek Fisher,1m86,22,80,3.9,1.2,1.5
Sean Rooks,2m09,27,69,3.8,2.4,0.6
Rumeal Robinson,1m89,30,15,3,0.7,0.9
Larry Krystkowiak,2m06,32,3,1,1.7,1
Joe Kleine,2m14,34,8,0.8,1.1,0
