Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Mike Gminski,2m11,26,81,16.5,8.2,1.6
Buck Williams,2m04,25,82,15.9,12,1.6
Otis Birdsong,1m94,30,77,15.8,2.6,3.4
Michael Ray Richardson,1m95,30,47,15.7,5.3,7.2
Darryl Dawkins,2m11,28,51,15.3,4.9,1.5
Albert King,1m98,26,73,14.3,5,2.5
Darwin Cook,1m90,27,79,8,2.2,4.9
Mickey Johnson,2m10,33,79,7.8,4.2,2.7
Kelvin Ransey,1m86,27,79,7.4,1.5,3.2
Ray Williams,1m92,31,5,6.4,0.8,1.8
Mike O'koren,2m01,27,67,5.2,2,1.8
Jeff Turner,2m06,23,53,4.3,2.6,0.3
Bobby Cattage,2m05,27,29,3.2,1.2,0.1
Rod Higgins,2m01,25,2,3,4,0.5
Yvon Joseph,2m11,28,1,2,0,0
