Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Brandon Roy,1m98,24,78,22.6,4.7,5.1
LaMarcus Aldridge,2m08,23,81,18.1,7.5,1.9
Travis Outlaw,2m07,24,81,12.8,4.1,1
Steve Blake,1m91,28,69,11,2.5,5
Rudy Fernandez,1m96,23,78,10.4,2.7,2
Greg Oden,2m13,20,61,8.9,7,0.5
Joel Przybilla,2m14,29,82,5.5,8.7,0.3
Nicolas Batum,2m03,20,79,5.4,2.8,0.9
Sergio Rodriguez,1m91,22,80,4.5,1.6,3.6
Jerryd Bayless,1m88,20,53,4.3,1.1,1.5
Channing Frye,2m10,25,63,4.2,2.2,0.4
Shavlik Randolph,2m08,25,10,1.8,1.8,0
Ike Diogu,2m04,25,19,1.4,0.9,0
Michael Ruffin,2m07,31,11,0.5,1,0
Martell Webster,2m01,22,1,0,0,0
