Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zach Randolph,2m06,25,68,23.6,10.1,2.2
Brandon Roy,1m98,22,57,16.8,4.4,4
Jarrett Jack,1m90,23,79,12,2.6,5.3
Travis Outlaw,2m07,22,67,9.6,3.2,0.8
LaMarcus Aldridge,2m08,21,63,9,5,0.4
Juan Dixon,1m91,28,55,8.9,1.5,1.5
Ime Udoka,1m98,29,75,8.4,3.7,1.5
Martell Webster,2m01,20,82,7,2.9,0.6
Jamaal Magloire,2m11,28,81,6.5,6.1,0.4
Fred Jones,1m93,27,24,4.8,1.4,2.2
Raef Lafrentz,2m12,30,27,3.7,2.6,0.3
Sergio Rodriguez,1m91,20,67,3.7,1.4,3.3
Dan Dickau,1m80,28,50,3.3,0.9,1.4
Stephen Graham,1m98,24,14,3.2,1.5,0.4
Joel Przybilla,2m14,27,43,2,3.9,0.3
Luke Schenscher,2m15,24,11,1.7,2.3,0.1
Jeremy Richardson,1m98,22,1,0,0,0
