Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Brandon Roy,1m98,25,65,21.5,4.4,4.7
LaMarcus Aldridge,2m08,24,78,17.9,8,2.1
Andre Miller,1m89,33,82,14,3.2,5.4
Greg Oden,2m13,21,21,11.1,8.5,0.9
Nicolas Batum,2m03,21,37,10.1,3.8,1.2
Travis Outlaw,2m07,25,11,9.9,3.5,0.7
Martell Webster,2m01,23,82,9.4,3.3,0.8
Jerryd Bayless,1m88,21,74,8.5,1.6,2.3
Rudy Fernandez,1m96,24,62,8.1,2.6,2
Steve Blake,1m91,29,51,7.6,2.3,4
Marcus Camby,2m12,35,23,7,11.1,1.5
Juwan Howard,2m07,36,73,6,4.6,0.8
Joel Przybilla,2m14,30,30,4.1,7.9,0.3
Dante Cunningham,2m05,22,63,3.9,2.5,0.2
Jeff Ayres,2m09,22,39,2.7,2.5,0
Patty Mills,1m80,21,10,2.6,0.2,0.5
Shavlik Randolph,2m08,26,3,1.3,0.3,0.3
Travis Diener,1m85,27,5,0.6,0.2,0.8
Anthony Tolliver,2m05,24,2,0,0.5,0
