Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kristaps Porzingis,2m18,22,48,22.7,6.6,1.2
Tim Hardaway Jr.,1m98,25,57,17.5,3.9,2.7
Enes Kanter Freedom,2m08,25,71,14.1,11,1.5
Michael Beasley,2m06,28,74,13.2,5.6,1.7
Trey Burke,1m85,25,36,12.8,2,4.7
Courtney Lee,1m95,32,76,12,2.9,2.4
Emmanuel Mudiay,1m96,21,22,8.8,2.6,3.9
Troy Williams,2m01,23,17,7.5,3.5,0.9
Jarrett Jack,1m90,34,62,7.5,3.1,5.6
Doug McDermott,2m01,25,55,7.2,2.4,0.9
Kyle O'Quinn,2m08,27,77,7.1,6.1,2.1
Luke Kornet,2m18,22,20,6.7,3.2,1.3
Frank Ntilikina,1m98,19,78,5.9,2.3,3.2
Isaiah Hicks,2m05,23,18,4.4,2.3,0.9
Willy Hernangomez,2m09,23,26,4.3,2.6,0.8
Damyean Dotson,1m95,23,44,4.1,1.9,0.7
Lance Thomas,2m05,29,73,4.1,2.4,0.6
Ramon Sessions,1m90,31,13,3.7,1.4,2.1
Ron Baker,1m92,24,29,2.4,1,1.6
Joakim Noah,2m10,32,7,1.7,2,0.6
Mindaugas Kuzminskas,2m06,28,1,0,0,0
