Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
C.J. McCollum,1m92,30,26,24.3,4.5,5.8
Brandon Ingram,2m03,24,55,22.7,5.8,5.6
Jonas Valanciunas,2m10,29,74,17.8,11.4,2.6
Josh Hart,1m96,26,41,13.4,7.8,4.1
Nickeil Alexander-Walker,1m97,23,50,12.8,3.3,2.8
Devonte Graham,1m88,26,76,11.9,2.3,4.2
Herbert Jones,2m01,38,78,9.5,3.8,2.1
Jaxson Hayes,2m13,21,70,9.3,4.5,0.6
Willy Hernangomez,2m09,27,49,9.2,6.9,1.3
Jared Harper,1m79,24,5,7.4,0.4,2.8
Larry Nance,2m03,28,9,7.3,4.3,0.9
Jose Alvarado,1m83,23,54,6.1,1.9,2.8
Kira Lewis,1m90,20,24,5.9,1.6,2
Tony Snell,2m01,30,15,5.9,2.1,0.5
Naji Marshall,2m01,23,55,5.7,2.6,1.1
Trey Murphy III,2m06,21,62,5.4,2.4,0.6
Garrett Temple,1m95,35,59,5.2,2.4,1.3
Tyrone Wallace,1m96,27,6,2.8,1.3,0.2
Tomas Satoransky,2m01,30,32,2.8,2,2.4
Gary Clark,1m99,27,38,2.7,2.4,0.5
Alize Johnson,2m06,25,4,2.3,3.3,0.3
Didi Louzada,1m95,22,2,0,1,0.5
